user_name,count_tweet,pol,count_retweet,count_mentions,pol_tot
jorge puigmal,1,-0.312999963760376,0,1,-0.312999963760376
H9NRiK MoRiTz? ||*||,1,-0.48100000619888306,0,1,-0.48100000619888306
Elsa Ort,1,-0.22499999403953552,0,1,-0.22499999403953552
Carlos J. De Moganda,1,-0.25,0,3,-0.75
Manuel Alexander,1,0.0,0,1,0.0
Ivan Rodon ?,2,0.2605000138282776,0,2,0.2605000138282776
Bzg,1,0.25,0,1,0.25
#JaS�nAqu�,1,0.2750000059604645,0,1,0.2750000059604645
ivan gomez gonzalez,1,-0.48100000619888306,0,1,-0.48100000619888306
User,1,-0.28600001335144043,0,1,-0.28600001335144043
Ana Roura,2,0.16200000047683716,0,4,0.3240000009536743
mair�ad,1,-0.5,0,1,-0.5
Varo  �\_(?)_/�,1,-0.25,0,1,-0.25
Betty Marina Montero,1,0.0,0,1,0.0
Carlos Mora,1,0.125,0,1,0.125
Bronn,1,0.5,0,1,0.5
Don Pelayo,1,0.0,0,5,0.0
Paz Parra G�mez,1,0.125,0,1,0.125
Antonio �\_(?)_/�,1,-0.25,0,1,-0.25
Grupo Socialista,1,-0.25,0,0,-0.25
